epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.49,0.92241,1.77602,1.35189,0.78855,0.05463,0.09506,0.05174,1.18656,3.16562,1.64744,0.00048,0.00048,0.00048
2,9626.18,0.96703,1.33994,1.3561,0.58497,0.14112,0.12833,0.0725,1.14165,2.17073,1.56381,0.000970298,0.000970298,0.000970298
3,9979.76,1.02103,1.27141,1.36925,0.34226,0.14416,0.09075,0.04394,1.24606,5.22091,1.81854,0.0014507,0.0014507,0.0014507
4,10248.1,1.05675,1.23457,1.40768,0.18355,0.13657,0.05386,0.02045,1.48433,10.4163,2.22411,0.00192119,0.00192119,0.00192119
5,10507.3,1.12994,1.1729,1.40231,0.13522,0.06373,0.01799,0.00484,2.29188,8.21678,3.08411,0.0019208,0.0019208,0.0019208
6,10771.6,1.01579,1.05414,1.35025,0.13061,0.07132,0.01652,0.00442,2.74593,3.36212,3.00894,0.001901,0.001901,0.001901
7,11094.7,1.02141,1.01012,1.32638,0.5541,0.13809,0.12729,0.08044,1.10338,1.60737,1.33025,0.0018812,0.0018812,0.0018812
8,11413.6,1.00707,0.97095,1.33418,0.89894,0.15023,0.1553,0.11364,0.95286,1.15005,1.18784,0.0018614,0.0018614,0.0018614
9,11757.6,0.96986,0.9207,1.27149,0.88244,0.15175,0.15475,0.11206,1.10917,1.21908,1.32405,0.0018416,0.0018416,0.0018416
