epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.156,1.52032,2.11769,2.03848,0.00297,0.89,0.75092,0.48591,1.3519,3.09278,2.05542,0.00048,0.00048,0.00048
2,627.376,0.94141,1.17854,1.4179,0.92752,0.76,0.8647,0.65018,0.84748,2.51092,1.25565,0.000970298,0.000970298,0.000970298
3,900.992,0.89047,1.00793,1.3646,0.84517,0.9,0.94401,0.74984,0.68229,2.11269,1.13692,0.0014507,0.0014507,0.0014507
4,1308.89,0.82207,0.88243,1.31109,0.83337,0.80024,0.91728,0.57587,1.20506,2.18702,2.04285,0.00192119,0.00192119,0.00192119
